date,tag,trend_score
2018-01-05,viral,84
2018-01-06,viral,100
2018-01-07,viral,84
2018-01-08,viral,85
2018-01-09,viral,76
2018-01-10,viral,64
2018-01-11,viral,62
2018-01-12,viral,61
2018-01-13,viral,59
2018-01-14,viral,55
2018-01-15,viral,55
2018-01-16,viral,52
2018-01-17,viral,48
2018-01-18,viral,55
2018-01-19,viral,50
2018-01-20,viral,50
2018-01-21,viral,40
2018-01-22,viral,44
2018-01-23,viral,47
2018-01-24,viral,51
2018-01-25,viral,52
2018-01-26,viral,48
2018-01-27,viral,45
2018-01-28,viral,41
2018-01-29,viral,48
2018-01-30,viral,49
2018-01-31,viral,47
2018-02-01,viral,44
2018-02-02,viral,41
2018-02-03,viral,40
2018-02-04,viral,44
2018-02-05,viral,45
2018-02-06,viral,48
2018-02-07,viral,48
2018-02-08,viral,48
2018-02-09,viral,42
2018-02-10,viral,41
2018-02-11,viral,44
2018-02-12,viral,60
2018-02-13,viral,54
2018-02-14,viral,53
2018-02-15,viral,52
2018-02-16,viral,48
2018-02-17,viral,48
2018-02-18,viral,44
2018-02-19,viral,47
2018-02-20,viral,61
2018-02-21,viral,68
2018-02-22,viral,68
2018-02-23,viral,59
2018-02-24,viral,53
2018-02-25,viral,46
2018-02-26,viral,47
2018-02-27,viral,47
2018-02-28,viral,48
2018-03-01,viral,47
2018-03-02,viral,43
2018-03-03,viral,44
2018-03-04,viral,39
2018-03-05,viral,40
2018-03-06,viral,42
2018-03-07,viral,42
2018-03-08,viral,45
2018-03-09,viral,46
2018-03-10,viral,44
2018-03-11,viral,44
2018-03-12,viral,48
2018-03-13,viral,47
2018-03-14,viral,48
2018-03-15,viral,46
2018-03-16,viral,46
2018-03-17,viral,44
2018-03-18,viral,42
2018-03-19,viral,43
2018-03-20,viral,47
2018-03-21,viral,49
2018-03-22,viral,49
2018-03-23,viral,44
2018-03-24,viral,41
2018-03-25,viral,40
2018-03-26,viral,45
2018-03-27,viral,44
2018-03-28,viral,48
2018-03-29,viral,45
2018-03-30,viral,40
2018-03-31,viral,39
2018-04-01,viral,37
2018-04-02,viral,43
2018-04-03,viral,48
2018-04-04,viral,47
2018-04-05,viral,53
2018-04-06,viral,47
2018-04-07,viral,47
2018-04-08,viral,41
2018-04-09,viral,43
2018-04-10,viral,46
2018-04-11,viral,45
2018-04-12,viral,43
2018-04-13,viral,42
2018-04-14,viral,39
2018-04-15,viral,39
2018-04-16,viral,43
2018-04-17,viral,45
2018-04-18,viral,49
2018-04-19,viral,43
2018-04-20,viral,41
2018-04-21,viral,42
2018-04-22,viral,39
2018-04-23,viral,45
2018-04-24,viral,43
2018-04-25,viral,43
2018-04-26,viral,43
2018-04-27,viral,44
2018-04-28,viral,47
2018-04-29,viral,40
2018-04-30,viral,49
2018-05-01,viral,44
2018-05-02,viral,40
2018-05-03,viral,45
2018-05-04,viral,42
2018-05-05,viral,42
2018-05-06,viral,42
2018-05-07,viral,40
2018-05-08,viral,41
2018-05-09,viral,42
2018-05-10,viral,42
2018-05-11,viral,40
2018-05-12,viral,40
2018-05-13,viral,38
2018-05-14,viral,42
2018-05-15,viral,35
2018-05-16,viral,37
2018-05-17,viral,39
2018-05-18,viral,47
2018-05-19,viral,39
2018-05-20,viral,37
2018-05-21,viral,40
2018-05-22,viral,42
2018-05-23,viral,41
2018-05-24,viral,43
2018-05-25,viral,37
2018-05-26,viral,40
2018-05-27,viral,38
2018-05-28,viral,38
2018-05-29,viral,41
2018-05-30,viral,42
2018-05-31,viral,43
2018-06-01,viral,41
2018-06-02,viral,39
2018-06-03,viral,40
2018-06-04,viral,38
2018-06-05,viral,43
2018-06-06,viral,45
2018-06-07,viral,43
2018-06-08,viral,45
2018-06-09,viral,43
2018-06-10,viral,43
2018-06-11,viral,43
2018-06-12,viral,42
2018-06-13,viral,47
2018-06-14,viral,42
2017-11-14,vs,56
2017-11-15,vs,57
2017-11-16,vs,61
2017-11-17,vs,51
2017-11-18,vs,73
2017-11-19,vs,67
2017-11-20,vs,56
2017-11-21,vs,47
2017-11-22,vs,49
2017-11-23,vs,53
2017-11-24,vs,58
2017-11-25,vs,76
2017-11-26,vs,72
2017-11-27,vs,61
2017-11-28,vs,49
2017-11-29,vs,48
2017-11-30,vs,46
2017-12-01,vs,49
2017-12-02,vs,67
2017-12-03,vs,76
2017-12-04,vs,54
2017-12-05,vs,53
2017-12-06,vs,56
2017-12-07,vs,46
2017-12-08,vs,50
2017-12-09,vs,56
2017-12-10,vs,80
2017-12-11,vs,53
2017-12-12,vs,49
2017-12-13,vs,61
2017-12-14,vs,46
2017-12-15,vs,42
2017-12-16,vs,54
2017-12-17,vs,66
2017-12-18,vs,46
2017-12-19,vs,46
2017-12-20,vs,52
2017-12-21,vs,43
2017-12-22,vs,54
2017-12-23,vs,74
2017-12-24,vs,56
2017-12-25,vs,45
2017-12-26,vs,49
2017-12-27,vs,45
2017-12-28,vs,43
2017-12-29,vs,46
2017-12-30,vs,50
2017-12-31,vs,50
2018-01-01,vs,46
2018-01-02,vs,51
2018-01-03,vs,48
2018-01-04,vs,47
2018-01-05,vs,57
2018-01-06,vs,66
2018-01-07,vs,65
2018-01-08,vs,58
2018-01-09,vs,66
2018-01-10,vs,45
2018-01-11,vs,48
2018-01-12,vs,46
2018-01-13,vs,57
2018-01-14,vs,79
2018-01-15,vs,61
2018-01-16,vs,61
2018-01-17,vs,53
2018-01-18,vs,44
2018-01-19,vs,44
2018-01-20,vs,54
2018-01-21,vs,73
2018-01-22,vs,56
2018-01-23,vs,46
2018-01-24,vs,54
2018-01-25,vs,59
2018-01-26,vs,57
2018-01-27,vs,65
2018-01-28,vs,61
2018-01-29,vs,44
2018-01-30,vs,46
2018-01-31,vs,48
2018-02-01,vs,62
2018-02-02,vs,47
2018-02-03,vs,63
2018-02-04,vs,72
2018-02-05,vs,52
2018-02-06,vs,44
2018-02-07,vs,59
2018-02-08,vs,49
2018-02-09,vs,46
2018-02-10,vs,73
2018-02-11,vs,66
2018-02-12,vs,47
2018-02-13,vs,65
2018-02-14,vs,72
2018-02-15,vs,55
2018-02-16,vs,59
2018-02-17,vs,59
2018-02-18,vs,69
2018-02-19,vs,47
2018-02-20,vs,61
2018-02-21,vs,63
2018-02-22,vs,53
2018-02-23,vs,48
2018-02-24,vs,65
2018-02-25,vs,68
2018-02-26,vs,46
2018-02-27,vs,45
2018-02-28,vs,46
2018-03-01,vs,51
2018-03-02,vs,47
2018-03-03,vs,50
2018-03-04,vs,73
2018-03-05,vs,47
2018-03-06,vs,72
2018-03-07,vs,55
2018-03-08,vs,56
2018-03-09,vs,48
2018-03-10,vs,69
2018-03-11,vs,58
2018-03-12,vs,52
2018-03-13,vs,48
2018-03-14,vs,66
2018-03-15,vs,54
2018-03-16,vs,49
2018-03-17,vs,56
2018-03-18,vs,77
2018-03-19,vs,49
2018-03-20,vs,42
2018-03-21,vs,44
2018-03-22,vs,46
2018-03-23,vs,63
2018-03-24,vs,67
2018-03-25,vs,55
2018-03-26,vs,47
2018-03-27,vs,68
2018-03-28,vs,54
2018-03-29,vs,42
2018-03-30,vs,45
2018-03-31,vs,72
2018-04-01,vs,69
2018-04-02,vs,49
2018-04-03,vs,61
2018-04-04,vs,65
2018-04-05,vs,50
2018-04-06,vs,45
2018-04-07,vs,67
2018-04-08,vs,75
2018-04-09,vs,50
2018-04-10,vs,66
2018-04-11,vs,72
2018-04-12,vs,52
2018-04-13,vs,47
2018-04-14,vs,59
2018-04-15,vs,70
2018-04-16,vs,50
2018-04-17,vs,50
2018-04-18,vs,52
2018-04-19,vs,49
2018-04-20,vs,50
2018-04-21,vs,64
2018-04-22,vs,64
2018-04-23,vs,51
2018-04-24,vs,58
2018-04-25,vs,74
2018-04-26,vs,63
2018-04-27,vs,51
2018-04-28,vs,58
2018-04-29,vs,68
2018-04-30,vs,54
2018-05-01,vs,66
2018-05-02,vs,64
2018-05-03,vs,60
2018-05-04,vs,53
2018-05-05,vs,64
2018-05-06,vs,100
2018-05-07,vs,50
2018-05-08,vs,47
2018-05-09,vs,54
2018-05-10,vs,48
2018-05-11,vs,50
2018-05-12,vs,55
2018-05-13,vs,69
2018-05-14,vs,53
2018-05-15,vs,49
2018-05-16,vs,56
2018-05-17,vs,55
2018-05-18,vs,49
2018-05-19,vs,64
2018-05-20,vs,64
2018-05-21,vs,48
2018-05-22,vs,51
2018-05-23,vs,52
2018-05-24,vs,50
2018-05-25,vs,58
2018-05-26,vs,90
2018-05-27,vs,68
2018-05-28,vs,55
2018-05-29,vs,59
2018-05-30,vs,49
2018-05-31,vs,52
2018-06-01,vs,58
2018-06-02,vs,58
2018-06-03,vs,69
2018-06-04,vs,52
2018-06-05,vs,47
2018-06-06,vs,47
2018-06-07,vs,54
2018-06-08,vs,48
2018-06-09,vs,71
2018-06-10,vs,58
2018-06-11,vs,43
2018-06-12,vs,40
2018-06-13,vs,45
2018-06-14,vs,70
2017-11-14,whatsapp,73
2017-11-15,whatsapp,72
2017-11-16,whatsapp,70
2017-11-17,whatsapp,71
2017-11-18,whatsapp,61
2017-11-19,whatsapp,57
2017-11-20,whatsapp,67
2017-11-21,whatsapp,72
2017-11-22,whatsapp,73
2017-11-23,whatsapp,73
2017-11-24,whatsapp,68
2017-11-25,whatsapp,59
2017-11-26,whatsapp,58
2017-11-27,whatsapp,71
2017-11-28,whatsapp,67
2017-11-29,whatsapp,72
2017-11-30,whatsapp,95
2017-12-01,whatsapp,73
2017-12-02,whatsapp,63
2017-12-03,whatsapp,62
2017-12-04,whatsapp,72
2017-12-05,whatsapp,73
2017-12-06,whatsapp,74
2017-12-07,whatsapp,70
2017-12-08,whatsapp,68
2017-12-09,whatsapp,61
2017-12-10,whatsapp,58
2017-12-11,whatsapp,69
2017-12-12,whatsapp,69
2017-12-13,whatsapp,70
2017-12-14,whatsapp,70
2017-12-15,whatsapp,70
2017-12-16,whatsapp,59
2017-12-17,whatsapp,59
2017-12-18,whatsapp,65
2017-12-19,whatsapp,69
2017-12-20,whatsapp,69
2017-12-21,whatsapp,73
2017-12-22,whatsapp,68
2017-12-23,whatsapp,62
2017-12-24,whatsapp,67
2017-12-25,whatsapp,68
2017-12-26,whatsapp,72
2017-12-27,whatsapp,74
2017-12-28,whatsapp,72
2017-12-29,whatsapp,72
2017-12-30,whatsapp,66
2017-12-31,whatsapp,100
2018-01-01,whatsapp,61
2018-01-02,whatsapp,68
2018-01-03,whatsapp,70
2018-01-04,whatsapp,69
2018-01-05,whatsapp,69
2018-01-06,whatsapp,61
2018-01-07,whatsapp,56
2018-01-08,whatsapp,71
2018-01-09,whatsapp,71
2018-01-10,whatsapp,69
2018-01-11,whatsapp,71
2018-01-12,whatsapp,68
2018-01-13,whatsapp,65
2018-01-14,whatsapp,54
2018-01-15,whatsapp,68
2018-01-16,whatsapp,67
2018-01-17,whatsapp,71
2018-01-18,whatsapp,67
2018-01-19,whatsapp,68
2018-01-20,whatsapp,63
2018-01-21,whatsapp,54
2018-01-22,whatsapp,67
2018-01-23,whatsapp,68
2018-01-24,whatsapp,67
2018-01-25,whatsapp,70
2018-01-26,whatsapp,67
2018-01-27,whatsapp,61
2018-01-28,whatsapp,59
2018-01-29,whatsapp,69
2018-01-30,whatsapp,75
2018-01-31,whatsapp,70
2018-02-01,whatsapp,72
2018-02-02,whatsapp,69
2018-02-03,whatsapp,60
2018-02-04,whatsapp,57
2018-02-05,whatsapp,70
2018-02-06,whatsapp,71
2018-02-07,whatsapp,71
2018-02-08,whatsapp,76
2018-02-09,whatsapp,73
2018-02-10,whatsapp,64
2018-02-11,whatsapp,59
2018-02-12,whatsapp,65
2018-02-13,whatsapp,67
2018-02-14,whatsapp,73
2018-02-15,whatsapp,72
2018-02-16,whatsapp,72
2018-02-17,whatsapp,62
2018-02-18,whatsapp,57
2018-02-19,whatsapp,66
2018-02-20,whatsapp,71
2018-02-21,whatsapp,70
2018-02-22,whatsapp,74
2018-02-23,whatsapp,70
2018-02-24,whatsapp,65
2018-02-25,whatsapp,60
2018-02-26,whatsapp,72
2018-02-27,whatsapp,72
